Date,Meter #,Previous Read,Current Read,#of Days,Type of Reading,Billed Usage,Units
10/4/2022,18077,55058,56400,32,ME,-1342.0,kWh
10/4/2022,18077,12644,15024,32,ME,15.02,kW
10/4/2022,18077,42002,42715,32,ME,713.0,kWh
9/2/2022,18077,55635,55058,30,ME,-1423.0,kWh
9/2/2022,18077,17928,12644,30,ME,12.64,kW
9/2/2022,18077,41458,42002,30,ME,544.0,kWh
8/3/2022,18077,52316,53635,29,ME,-1319.0,kWh
8/3/2022,18077,14504,17928,29,ME,17.93,kW
8/3/2022,18077,40889,41458,29,ME,569.0,kWh
7/5/2022,18077,49849,52316,32,ME,-2467.0,kWh
7/5/2022,18077,14319,14504,32,ME,14.5,kW
7/5/2022,18077,40658,40889,32,ME,231.0,kWh
6/3/2022,18077,47823.49849,31,ME,-2026.0,kWh
6/3/2022,18077,22839.14319,31,ME,14.32,kW
6/3/2022,18077,40087.40658,31,ME,571.0,kWh
5/3/2022,18077,46038,47823,29,ME,-1785.0,kWh
5/3/2022,18077,21895,22839,29,ME,22.84.0,kW
5/3/2022,18077,39208,40087,29,ME,879.0,kWh
4/4/2022,18077,44546,46038,32,ME,-1492.0,kWh
4/4/2022,18077,24919,21895,32,ME,21.9,kW
4/4/2022,18077,37655,39208,32,ME,1543.0,kWh
3/3/2022,18077,43521,44546,28,ME,-1025.0,kWh
3/3/2022,18077,22291,24919,28,ME,24.92,kH
3/3/2022,18077,36023,37655,28,ME,1642.0,kWh
2/3/2022,18077,42999,43521,31,ME,-522.0,kWh
2/3/2022,18077,25499,22291,31,ME,22.29,kW
2/3/2022,18077,33149,33023,31,ME,2847.0,kWh
1/3/2022,18077,42523,42999,31,MR,-476.0,kWh
1/3/2022,18077,25208,25499,31,MR,25.5,kW
1/3/2022,18077,31443,33149,31,MR,1707.0,kWh
12/3/2021,18077,41526,42523,30,MR,-997.0,kWh
12/3/2021,18077,21408,25208,30,MR,25.21,kW
12/3/2021,18077,29832,31422,30,MR,1608.0,kWh
11/3/2021,18077,40403,41526,30,MR,-1123.0,kWh
11/3/2021,18077,13231,21480,30,MR,21.41,kW
11/3/2021,18077,29037,29834,30,MR,797.0,kWh
10/4/2021,18077,38517,40403,31,MR,-1886.0,kWh
10/4/2021,18077,14195,13231,31,MR,13.23,kW
10/4/2021,18077,28479,29037,31,MR,558.0,kWh
9/3/2021,18077,36487,38517,31,MR,-2030.0,kWh
9/3/2021,18077,14483,14195,31,MR,14.2,kW
9/3/2021,18077,27967,28479,31,MR,512.0,kWh
8/3/2021,18077,34104,36487,32,MR,-2383.0,kWh
8/3/2021,18077,14859,14843,32,MR,14.48,kW
8/3/2021,18077,27551,27967,32,MR,416.0,kWh
7/2/2021,18077,32266,34104,25,MR,-1838.0,kWh
7/2/2021,18077,21688,14859,25,MR,14.86,kW
7/2/2021,18077,27214,27551,25,MR,337.0,kWh
6/7/2021,18077,27536,21688,35,MR,21.69,kW
6/7/2021,18077,26588,27214,35,MR,626.00,kWh
6/7/2021,18077,29894,32266,35,MR,-2372.00,kWh
5/3/2021,18077,25860,26588,31,MR,728.00,kWh
5/3/2021,18077,24495,27536,31,MR,27.54,kW
5/3/2021,18077,27917,29894,31,MR,-1977.00,kWh
4/2/2021,18077,25528,24495,30,MR,24.50,kW
4/2/2021,18077,24718,25860,30,MR,1142.00,kWh
4/2/2021,18077,26532,27917,30,MR,-1385.00,kWh
3/3/2021,18077,22709,24718,28,MR,2009.00,kWh
3/3/2021,18077,27431,25528,28,MR,25.53,kW
3/3/2021,18077,26087,26532,28,MR,-445.00,kWh
2/3/2021,18077,20300,22709,30,MR,2409.00,kWh
2/3/2021,18077,25707,26087,30,MR,-380.00,kWh
2/3/2021,18077,27108,27431,30,MR,27.43,kW
1/4/2021,18077,18022,20300,32,MR,2278.00,kWh
1/4/2021,18077,25230,25707,32,MR,-477.00,kWh
1/4/2021,18077,23140,27108,32,MR,27.11,kW
12/3/2020,18077,16845,18022,30,MR,1177.00,kWh
12/3/2020,18077,16724,23140,30,MR,23.14,kW
12/3/2020,18077,24333,25230,30,MR,-897.00,kWh
11/3/2020,18077,13287,16724,32,MR,16.72,kW
11/3/2020,18077,16048,16845,32,MR,797.00,kWh
11/3/2020,18077,23051,24333,32,MR,-1282.00,kWh
10/2/2020,18077,13784,13287,29,MR,13.29,kW
10/2/2020,18077,15466,16048,29,MR,582.00,kWh
10/2/2020,18077,21625,23051,29,MR,-1426.00,kWh
9/3/2020,18077,14424,13784,31,MR,13.78,kW
9/3/2020,18077,14823,15466,31,MR,643.00,kWh
9/3/2020,18077,20055,21625,31,MR,-1570.00,kWh
8/3/2020,18077,14144,14424,32,MR,14.42,kW
8/3/2020,18077,14114,14823,32,MR,709,kWh
8/3/2020,18077,17909,20055,32,MR,-2146,kWh
7/2/2020,18077,13481,14114,29,MR,633,kWh
7/2/2020,18077,14772,14144,29,MR,14.14,kW
7/2/2020,18077,16217,17909,29,MR,-1692,kWh
6/3/2020,18077,12801,13481,30,MR,680,kWh
6/3/2020,18077,15180,14772,30,MR,14.77,kW
6/3/2020,18077,14416,16217,30,MR,-1801,kWh
5/4/2020,18077,11962,12801,33,MR,839,kWh
5/4/2020,18077,12433,14416,33,MR,-1983,kWh
5/4/2020,18077,14843,15180,33,MR,15.18,kW
4/1/2020,18077,10879,11962,29,MR,1083,kWh
4/1/2020,18077,11262,12433,29,MR,-1171,kWh
4/1/2020,18077,21735,14843,29,MR,14.84,kW
3/3/2020,18077,9021,10879,28,MR,1858,kWh
3/3/2020,18077,10274,11262,28,MR,-988,kWh
3/3/2020,18077,20195,21735,28,MR,21.74,kW
2/4/2020,18077,6757,9021,32,MR,2264,kWh
2/4/2020,18077,9462,10274,32,MR,-812,kWh
2/4/2020,18077,22240,20195,32,MR,20.2,kW
1/3/2020,18077,4878,6757,30,MR,1879,kWh
1/3/2020,18077,8774,9462,30,MR,-688,kWh
1/3/2020,18077,21307,22240,30,MR,22.24,kW
12/4/2019,18077,3182,4878,30,MR,1696,kWh
12/4/2019,18077,7960,8774,30,MR,-814,kWh
12/4/2019,18077,14304,21307,30,MR,21.31,kW
11/4/2019,18077,2140,3182,32,MR,1042,kWh
11/4/2019,18077,6653,7960,32,MR,-1307,kWh
11/4/2019,18077,14380,14304,32,MR	14.3,kW
10/3/2019,18077,1425,2140,30,MR,715,kWh
10/3/2019,18077,4849,6653,30,MR,-1804,kWh
10/3/2019,18077,14583,14380,30,MR,14.38,kW
9/3/2019,18077,787,1425,29,MR,638,kWh
9/3/2019,18077,2987,4849,29,MR,-1862,kWh
9/3/2019,18077,14855,14583,29,MR,14.58,kW
8/5/2019,18077,299,787,34,MR,488,kWh
8/5/2019,18077,1170,2987,34,MR,-1817,kWh
8/5/2019,18077,14375,14855,34,MR,14.86,kW
7/2/2019,18077,0,299,7,MR,299,kWh
7/2/2019,18077,0,1170,7,MR,-1170,kWh
7/2/2019,18077,0,14375,7,MR,14.38,kW
6/25/2019,11732,33037,33694,21,RE,657,kWh
6/25/2019,18077,0,0,0,IN,0,kWh
6/25/2019,18077,0,0,0,IN,0,kW
6/4/2019,11732,31944,33037,32,MR,1093,kWh
5/3/2019,11732,30870,31944,29,MR,1074,kWh
4/4/2019,11732,28715,30870,31,MR,2155,kWh
3/4/2019,11732,26197,28715,28,MR,2518,kWh
2/4/2019,11732,22404,26197,32,MR,3793,kWh
1/3/2019,11732,19514,22404,31,MR,2890,kWh
12/3/2018,11732,17216,19514,28,MR,2298,kWh
11/5/2018,11732,15812,17216,33,MR,1404,kWh
10/3/2018,11732,14684,15812,29,MR,1128,kWh
9/4/2018,11732,13544,14684,32,MR,1140,kWh
8/3/2018,11732,12365,13544,32,MR,1179,kWh
7/2/2018,11732,11445,12365,28,MR,920,kWh
6/4/2018,11732,10306,11445,31,MR,1139,kWh
5/4/2018,11732,8918,10306,31,MR,1388,kWh
4/3/2018,11732,6361,8918,29,MR,2557,kWh
3/5/2018,11732,3826,6361,31,MR,2535,kWh
2/2/2018,11732,99900,3826,30,MR,3926,kWh
1/3/2018,11732,96109,99900,30,MR,3791,kWh
12/4/2017,11732,93954,96109,31,MR,2155,kWh
11/3/2017,11732,92841,93954,32,MR,1113,kWh
10/2/2017,11732,91922,92841,27,MR,919,kWh
9/5/2017,11732,90869,91922,33,MR,1053,kWh
8/3/2017,11732,89846,90869,29,MR,1023,kWh
7/5/2017,11732,88792,89846,33,MR,1054,kWh
6/2/2017,11732,87724,88792,30,MR,1068,kWh
5/3/2017,11732,86536,87724,30,MR,1188,kWh
4/3/2017,11732,84575,86536,31,MR,1961,kWh
3/3/2017,11732,82687,84575,28,MR,1888,kWh
2/3/2017,11732,80185,82687,31,MR,2502,kWh
1/3/2017,11732,77270,80185,33,MR,2915,kWh
12/1/2016,11732,75720,77270,28,MR,1550,kWh
11/3/2016,11732,74906,75720,30,MR,814,kWh
10/4/2016,11732,74069,74906,28,MR,837,kWh
9/6/2016,11732,73255,74069,34,MR,814,kWh
8/3/2016,11732,72742,73255,29,MR,513,kWh
7/5/2016,11732,72618,72742,8,MR,124,kWh
